"chr","windowStart","windowEnd","D","f_d","f_dM","StartMb","EndMb","center","Chrom","fd_filtered","Cat","CatConserv"
"NC_030304.1",1955352,1993089,0.090227,0.025007,0.012625,1.955352,1.993089,1.9742205,"Chr2",0.025007,"Collinear",NA
"NC_030304.1",1993181,2011175,-0.014028,-0.006149,-0.003011,1.993181,2.011175,2.002178,"Chr2",NA,"Collinear",NA
"NC_030304.1",2011748,2036188,0.247323,0.181451,0.07195,2.011748,2.036188,2.023968,"Chr2",0.181451,"Collinear",NA
"NC_030304.1",2036277,2050544,0.054816,0.04109,0.013805,2.036277,2.050544,2.0434105,"Chr2",0.04109,"Collinear",NA
"NC_030304.1",2050565,2072586,0.201665,0.142471,0.05463,2.050565,2.072586,2.0615755,"Chr2",0.142471,"Collinear",NA
"NC_030304.1",2072591,2091101,0.019413,0.016817,0.006065,2.072591,2.091101,2.081846,"Chr2",0.016817,"Collinear",NA
"NC_030304.1",2091109,2103831,0.140825,0.106771,0.03789,2.091109,2.103831,2.09747,"Chr2",0.106771,"Collinear",NA
"NC_030304.1",2103842,2112301,0.09666,0.086186,0.032336,2.103842,2.112301,2.1080715,"Chr2",0.086186,"Collinear",NA
"NC_030304.1",2112352,2128115,-0.048253,-0.029536,-0.013393,2.112352,2.128115,2.1202335,"Chr2",NA,"Collinear",NA
"NC_030304.1",2128445,2155606,-0.418958,-0.271769,-0.0733,2.128445,2.155606,2.1420255,"Chr2",NA,"Collinear",NA
"NC_030304.1",2155766,2174386,0.1317,0.087486,0.030747,2.155766,2.174386,2.165076,"Chr2",0.087486,"Collinear",NA
"NC_030304.1",2174723,2196095,0.110048,0.055573,0.020735,2.174723,2.196095,2.185409,"Chr2",0.055573,"Collinear",NA
"NC_030304.1",2196165,2209214,0.248619,0.179616,0.073785,2.196165,2.209214,2.2026895,"Chr2",0.179616,"Collinear",NA
"NC_030304.1",2209224,2221377,-0.020743,-0.01524,-0.005301,2.209224,2.221377,2.2153005,"Chr2",NA,"Collinear",NA
"NC_030304.1",2221428,2238016,-0.093723,-0.085383,-0.021616,2.221428,2.238016,2.229722,"Chr2",NA,"Collinear",NA
"NC_030304.1",2238324,2253045,0.043646,0.035582,0.015109,2.238324,2.253045,2.2456845,"Chr2",0.035582,"Collinear",NA
"NC_030304.1",2253109,2261960,-0.138033,-0.180822,-0.050037,2.253109,2.26196,2.2575345,"Chr2",NA,"Collinear",NA
"NC_030304.1",2262025,2275224,-0.052955,-0.059199,-0.012998,2.262025,2.275224,2.2686245,"Chr2",NA,"Collinear",NA
"NC_030304.1",2275249,2305551,0.000331,0.000157,6e-05,2.275249,2.305551,2.2904,"Chr2",0.000157,"Collinear",NA
"NC_030304.1",2306294,2328989,-0.162757,-0.096442,-0.033607,2.306294,2.328989,2.3176415,"Chr2",NA,"Collinear",NA
"NC_030304.1",2329155,2346781,-0.143252,-0.105522,-0.029226,2.329155,2.346781,2.337968,"Chr2",NA,"Collinear",NA
"NC_030304.1",2346847,2364716,-0.019989,-0.010752,-0.004629,2.346847,2.364716,2.3557815,"Chr2",NA,"Collinear",NA
"NC_030304.1",2364978,2374036,-0.110084,-0.093426,-0.028113,2.364978,2.374036,2.369507,"Chr2",NA,"Collinear",NA
"NC_030304.1",2374043,2378919,0.196922,0.240501,0.08912,2.374043,2.378919,2.376481,"Chr2",0.240501,"Collinear",NA
"NC_030304.1",2378929,2384113,0.235902,0.300504,0.097226,2.378929,2.384113,2.381521,"Chr2",0.300504,"Collinear",NA
"NC_030304.1",2384129,2396492,-0.104052,-0.065311,-0.026733,2.384129,2.396492,2.3903105,"Chr2",NA,"Collinear",NA
"NC_030304.1",2396504,2405788,0.061581,0.043536,0.020119,2.396504,2.405788,2.401146,"Chr2",0.043536,"Collinear",NA
"NC_030304.1",2405812,2419714,-0.204484,-0.198911,-0.060158,2.405812,2.419714,2.412763,"Chr2",NA,"Collinear",NA
"NC_030304.1",2419808,2437391,0.019418,0.013612,0.005271,2.419808,2.437391,2.4285995,"Chr2",0.013612,"Collinear",NA
"NC_030304.1",2437449,2449966,0.15847,0.116795,0.048827,2.437449,2.449966,2.4437075,"Chr2",0.116795,"Collinear",NA
"NC_030304.1",2450041,2463440,0.050472,0.052325,0.012087,2.450041,2.46344,2.4567405,"Chr2",0.052325,"Collinear",NA
"NC_030304.1",2463449,2476147,0.172427,0.106935,0.046356,2.463449,2.476147,2.469798,"Chr2",0.106935,"Collinear",NA
"NC_030304.1",2476191,2487380,0.135993,0.10639,0.039058,2.476191,2.48738,2.4817855,"Chr2",0.10639,"Collinear",NA
"NC_030304.1",2487600,2505221,0.080923,0.051657,0.021518,2.4876,2.505221,2.4964105,"Chr2",0.051657,"Collinear",NA
"NC_030304.1",2505228,2514378,0.199704,0.160538,0.069295,2.505228,2.514378,2.509803,"Chr2",0.160538,"Collinear",NA
"NC_030304.1",2514801,2533840,0.200488,0.17443,0.074567,2.514801,2.53384,2.5243205,"Chr2",0.17443,"Collinear",NA
"NC_030304.1",2535240,2548717,0.034423,0.027665,0.009354,2.53524,2.548717,2.5419785,"Chr2",0.027665,"Collinear",NA
"NC_030304.1",2548861,2559448,-0.226597,-0.351194,-0.06149,2.548861,2.559448,2.5541545,"Chr2",NA,"Collinear",NA
"NC_030304.1",2559496,2572975,-0.024054,-0.020594,-0.006538,2.559496,2.572975,2.5662355,"Chr2",NA,"Collinear",NA
"NC_030304.1",2573014,2588137,0.001492,0.001351,0.000392,2.573014,2.588137,2.5805755,"Chr2",0.001351,"Collinear",NA
"NC_030304.1",2588162,2599948,-0.276888,-0.550324,-0.111616,2.588162,2.599948,2.594055,"Chr2",NA,"Collinear",NA
"NC_030304.1",2600319,2616079,0.056816,0.044382,0.011928,2.600319,2.616079,2.608199,"Chr2",0.044382,"Collinear",NA
"NC_030304.1",2616094,2629786,0.225919,0.196497,0.07566,2.616094,2.629786,2.62294,"Chr2",0.196497,"Collinear",NA
"NC_030304.1",2629799,2646882,0.039998,0.032123,0.008094,2.629799,2.646882,2.6383405,"Chr2",0.032123,"Collinear",NA
"NC_030304.1",2647113,2658784,-0.085152,-0.094515,-0.022486,2.647113,2.658784,2.6529485,"Chr2",NA,"Collinear",NA
"NC_030304.1",2658788,2674498,0.057932,0.044833,0.015304,2.658788,2.674498,2.666643,"Chr2",0.044833,"Collinear",NA
"NC_030304.1",2674510,2690082,0.11112,0.074589,0.029839,2.67451,2.690082,2.682296,"Chr2",0.074589,"Collinear",NA
"NC_030304.1",2690095,2707892,0.087504,0.049105,0.01642,2.690095,2.707892,2.6989935,"Chr2",0.049105,"Collinear",NA
"NC_030304.1",2707943,2734695,-0.031731,-0.015582,-0.006673,2.707943,2.734695,2.721319,"Chr2",NA,"Collinear",NA
"NC_030304.1",2734740,2755310,0.009697,0.006103,0.002417,2.73474,2.75531,2.745025,"Chr2",0.006103,"Collinear",NA
"NC_030304.1",2755862,2763700,0.094822,0.107531,0.041159,2.755862,2.7637,2.759781,"Chr2",0.107531,"Collinear",NA
"NC_030304.1",2763756,2800165,-0.008962,-0.003565,-0.001704,2.763756,2.800165,2.7819605,"Chr2",NA,"Collinear",NA
"NC_030304.1",2800256,2819941,0.100483,0.038929,0.017974,2.800256,2.819941,2.8100985,"Chr2",0.038929,"Collinear",NA
"NC_030304.1",2820244,2838783,0.190414,0.081929,0.03758,2.820244,2.838783,2.8295135,"Chr2",0.081929,"Collinear",NA
"NC_030304.1",2839067,2900444,-0.009608,-0.002427,-0.001221,2.839067,2.900444,2.8697555,"Chr2",NA,"Collinear",NA
"NC_030304.1",2900449,2922071,0.040399,0.016443,0.007,2.900449,2.922071,2.91126,"Chr2",0.016443,"Collinear",NA
"NC_030304.1",2922111,2928273,0.169929,0.176794,0.061346,2.922111,2.928273,2.925192,"Chr2",0.176794,"Collinear",NA
"NC_030304.1",2928327,2940362,-0.341205,-0.372993,-0.091468,2.928327,2.940362,2.9343445,"Chr2",NA,"Collinear",NA
"NC_030304.1",2940384,2947843,-0.130696,-0.273203,-0.053515,2.940384,2.947843,2.9441135,"Chr2",NA,"Collinear",NA
"NC_030304.1",2947862,2959167,0.121854,0.105093,0.034851,2.947862,2.959167,2.9535145,"Chr2",0.105093,"Collinear",NA
"NC_030304.1",2959228,2972761,0.010334,0.011228,0.003603,2.959228,2.972761,2.9659945,"Chr2",0.011228,"Collinear",NA
"NC_030304.1",2972763,2981428,-0.201728,-0.279709,-0.052516,2.972763,2.981428,2.9770955,"Chr2",NA,"Collinear",NA
"NC_030304.1",2981552,2989626,-0.134202,-0.108489,-0.038686,2.981552,2.989626,2.985589,"Chr2",NA,"Collinear",NA
"NC_030304.1",2989652,2996159,-0.065369,-0.082834,-0.017639,2.989652,2.996159,2.9929055,"Chr2",NA,"Collinear",NA
"NC_030304.1",2996300,3005806,0.10298,0.108382,0.0328,2.9963,3.005806,3.001053,"Chr2",0.108382,"Collinear",NA
"NC_030304.1",3005844,3013278,0.091443,0.085572,0.03095,3.005844,3.013278,3.009561,"Chr2",0.085572,"Collinear",NA
"NC_030304.1",3013287,3023190,0.094,0.07992,0.025804,3.013287,3.02319,3.0182385,"Chr2",0.07992,"Collinear",NA
"NC_030304.1",3023287,3033323,-0.278226,-0.358588,-0.096834,3.023287,3.033323,3.028305,"Chr2",NA,"Collinear",NA
"NC_030304.1",3033340,3037948,0.130767,0.15281,0.060101,3.03334,3.037948,3.035644,"Chr2",0.15281,"Collinear",NA
"NC_030304.1",3037951,3053034,-0.012115,-0.008284,-0.003027,3.037951,3.053034,3.0454925,"Chr2",NA,"Collinear",NA
"NC_030304.1",3053088,3073689,0.098572,0.048094,0.017341,3.053088,3.073689,3.0633885,"Chr2",0.048094,"Collinear",NA
"NC_030304.1",3074314,3086614,-0.070038,-0.037452,-0.014348,3.074314,3.086614,3.080464,"Chr2",NA,"Collinear",NA
"NC_030304.1",3086713,3106373,-0.039967,-0.021142,-0.007307,3.086713,3.106373,3.096543,"Chr2",NA,"Collinear",NA
"NC_030304.1",3106557,3129597,0.222267,0.107518,0.033935,3.106557,3.129597,3.118077,"Chr2",0.107518,"Collinear",NA
"NC_030304.1",3129743,3151802,0.190192,0.06397,0.025378,3.129743,3.151802,3.1407725,"Chr2",0.06397,"Collinear",NA
"NC_030304.1",3151808,3154982,-0.158103,-0.235498,-0.134267,3.151808,3.154982,3.153395,"Chr2",NA,"Collinear",NA
"NC_030304.1",3162726,3199510,0.282083,0.138488,0.072811,3.162726,3.19951,3.181118,"Chr2",0.138488,"Collinear",NA
"NC_030304.1",3200229,3220084,0.152944,0.085903,0.025232,3.200229,3.220084,3.2101565,"Chr2",0.085903,"Collinear",NA
"NC_030304.1",3220389,3234274,0.134958,0.06207,0.027325,3.220389,3.234274,3.2273315,"Chr2",0.06207,"Collinear",NA
"NC_030304.1",3234490,3248040,0.082067,0.035191,0.013845,3.23449,3.24804,3.241265,"Chr2",0.035191,"Collinear",NA
"NC_030304.1",3248109,3257683,0.419961,0.235973,0.092446,3.248109,3.257683,3.252896,"Chr2",0.235973,"Collinear",NA
"NC_030304.1",3257925,3272753,-0.0426,-0.02858,-0.010877,3.257925,3.272753,3.265339,"Chr2",NA,"Collinear",NA
"NC_030304.1",3272756,3285327,0.149839,0.130109,0.042654,3.272756,3.285327,3.2790415,"Chr2",0.130109,"Collinear",NA
"NC_030304.1",3285497,3297178,0.052511,0.040225,0.012387,3.285497,3.297178,3.2913375,"Chr2",0.040225,"Collinear",NA
"NC_030304.1",3297330,3307306,0.107039,0.095625,0.026962,3.29733,3.307306,3.302318,"Chr2",0.095625,"Collinear",NA
"NC_030304.1",3307352,3322457,0.050401,0.058586,0.014917,3.307352,3.322457,3.3149045,"Chr2",0.058586,"Collinear",NA
"NC_030304.1",3322476,3333740,-0.000272,-0.000273,-7.6e-05,3.322476,3.33374,3.328108,"Chr2",NA,"Collinear",NA
"NC_030304.1",3333776,3347289,-0.12375,-0.12587,-0.032906,3.333776,3.347289,3.3405325,"Chr2",NA,"Collinear",NA
"NC_030304.1",3347300,3363362,0.000147,7.4e-05,2.8e-05,3.3473,3.363362,3.355331,"Chr2",7.4e-05,"Collinear",NA
"NC_030304.1",3363386,3377448,0.152313,0.078542,0.028294,3.363386,3.377448,3.370417,"Chr2",0.078542,"Collinear",NA
"NC_030304.1",3377880,3384904,0.188514,0.208152,0.073159,3.37788,3.384904,3.381392,"Chr2",0.208152,"Collinear",NA
"NC_030304.1",3384928,3394454,-0.256293,-0.474866,-0.079187,3.384928,3.394454,3.389691,"Chr2",NA,"Collinear",NA
"NC_030304.1",3394520,3405938,-0.128873,-0.167923,-0.027964,3.39452,3.405938,3.400229,"Chr2",NA,"Collinear",NA
"NC_030304.1",3405964,3414634,-0.057679,-0.095707,-0.020829,3.405964,3.414634,3.410299,"Chr2",NA,"Collinear",NA
"NC_030304.1",3415134,3422150,0.078397,0.099865,0.026671,3.415134,3.42215,3.418642,"Chr2",0.099865,"Collinear",NA
"NC_030304.1",3422188,3432423,-0.003114,-0.002109,-0.000793,3.422188,3.432423,3.4273055,"Chr2",NA,"Collinear",NA
"NC_030304.1",3432457,3447125,-0.147578,-0.269427,-0.041922,3.432457,3.447125,3.439791,"Chr2",NA,"Collinear",NA
"NC_030304.1",3447252,3453929,0.159658,0.191419,0.051403,3.447252,3.453929,3.4505905,"Chr2",0.191419,"Collinear",NA
"NC_030304.1",3454071,3464088,0.102132,0.11078,0.028504,3.454071,3.464088,3.4590795,"Chr2",0.11078,"Collinear",NA
"NC_030304.1",3464112,3473923,0.245579,0.248362,0.086935,3.464112,3.473923,3.4690175,"Chr2",0.248362,"Collinear",NA
"NC_030304.1",3474021,3484361,0.063572,0.079576,0.015682,3.474021,3.484361,3.479191,"Chr2",0.079576,"Collinear",NA
"NC_030304.1",3484400,3495034,-0.226847,-0.277655,-0.089268,3.4844,3.495034,3.489717,"Chr2",NA,"Collinear",NA
"NC_030304.1",3495038,3508608,-0.162252,-0.186422,-0.052276,3.495038,3.508608,3.501823,"Chr2",NA,"Collinear",NA
"NC_030304.1",3508694,3519132,-0.019661,-0.023491,-0.00626,3.508694,3.519132,3.513913,"Chr2",NA,"Collinear",NA
"NC_030304.1",3519133,3531154,-0.05906,-0.058023,-0.019034,3.519133,3.531154,3.5251435,"Chr2",NA,"Collinear",NA
"NC_030304.1",3531166,3562674,0.017535,0.006383,0.002987,3.531166,3.562674,3.54692,"Chr2",0.006383,"Collinear",NA
"NC_030304.1",3562749,3590860,-0.012069,-0.003393,-0.001647,3.562749,3.59086,3.5768045,"Chr2",NA,"Collinear",NA
"NC_030304.1",3590867,3616829,-0.224786,-0.164151,-0.042792,3.590867,3.616829,3.603848,"Chr2",NA,"Collinear",NA
"NC_030304.1",3616909,3651944,-0.024114,-0.011329,-0.004385,3.616909,3.651944,3.6344265,"Chr2",NA,"Collinear",NA
"NC_030304.1",3651985,3666187,0.162892,0.113279,0.047151,3.651985,3.666187,3.659086,"Chr2",0.113279,"Collinear",NA
"NC_030304.1",3666190,3678270,0.077147,0.048651,0.023807,3.66619,3.67827,3.67223,"Chr2",0.048651,"Collinear",NA
"NC_030304.1",3678433,3690961,-0.000828,-0.000558,-0.000223,3.678433,3.690961,3.684697,"Chr2",NA,"Collinear",NA
"NC_030304.1",3690977,3702828,-0.120615,-0.110316,-0.02344,3.690977,3.702828,3.6969025,"Chr2",NA,"Collinear",NA
"NC_030304.1",3703164,3713720,0.065091,0.042745,0.012291,3.703164,3.71372,3.708442,"Chr2",0.042745,"Collinear",NA
"NC_030304.1",3713834,3737299,-0.121914,-0.049961,-0.016948,3.713834,3.737299,3.7255665,"Chr2",NA,"Collinear",NA
"NC_030304.1",3737425,3749176,-0.184859,-0.130088,-0.051905,3.737425,3.749176,3.7433005,"Chr2",NA,"Collinear",NA
"NC_030304.1",3749700,3763231,0.181679,0.118758,0.045665,3.7497,3.763231,3.7564655,"Chr2",0.118758,"Collinear",NA
"NC_030304.1",3763257,3774379,-0.130276,-0.111695,-0.05077,3.763257,3.774379,3.768818,"Chr2",NA,"Collinear",NA
"NC_030304.1",3774382,3810950,-0.035695,-0.018483,-0.010175,3.774382,3.81095,3.792666,"Chr2",NA,"Collinear",NA
"NC_030304.1",3811536,3830101,0.03863,0.021154,0.007352,3.811536,3.830101,3.8208185,"Chr2",0.021154,"Collinear",NA
"NC_030304.1",3830139,3842139,0.129045,0.113453,0.035554,3.830139,3.842139,3.836139,"Chr2",0.113453,"Collinear",NA
"NC_030304.1",3842544,3857263,0.036477,0.033038,0.008304,3.842544,3.857263,3.8499035,"Chr2",0.033038,"Collinear",NA
"NC_030304.1",3857602,3876261,-0.290033,-0.152584,-0.054257,3.857602,3.876261,3.8669315,"Chr2",NA,"Collinear",NA
"NC_030304.1",3876277,3914121,-0.190593,-0.054829,-0.025525,3.876277,3.914121,3.895199,"Chr2",NA,"Collinear",NA
"NC_030304.1",3914186,3924875,0.244423,0.146726,0.06228,3.914186,3.924875,3.9195305,"Chr2",0.146726,"Collinear",NA
"NC_030304.1",3924983,3934460,0.140153,0.107509,0.041826,3.924983,3.93446,3.9297215,"Chr2",0.107509,"Collinear",NA
"NC_030304.1",3934508,3948646,0.261867,0.165171,0.05021,3.934508,3.948646,3.941577,"Chr2",0.165171,"Collinear",NA
"NC_030304.1",3949246,3960823,-0.048148,-0.024765,-0.009916,3.949246,3.960823,3.9550345,"Chr2",NA,"Collinear",NA
"NC_030304.1",3960962,3976884,0.290016,0.151626,0.048645,3.960962,3.976884,3.968923,"Chr2",0.151626,"Collinear",NA
"NC_030304.1",3976890,3986993,0.265234,0.176858,0.069547,3.97689,3.986993,3.9819415,"Chr2",0.176858,"Collinear",NA
"NC_030304.1",3987032,3998523,-0.316258,-0.511445,-0.094841,3.987032,3.998523,3.9927775,"Chr2",NA,"Collinear",NA
"NC_030304.1",3998586,4011280,0.088181,0.058546,0.026473,3.998586,4.01128,4.004933,"Chr2",0.058546,"Collinear",NA
"NC_030304.1",4011334,4023648,-0.150258,-0.203372,-0.044983,4.011334,4.023648,4.017491,"Chr2",NA,"Collinear",NA
"NC_030304.1",4023773,4036306,0.245904,0.188713,0.080964,4.023773,4.036306,4.0300395,"Chr2",0.188713,"Collinear",NA
"NC_030304.1",4036394,4042730,0.044013,0.050394,0.016989,4.036394,4.04273,4.039562,"Chr2",0.050394,"Collinear",NA
"NC_030304.1",4043159,4054828,0.170117,0.137635,0.055687,4.043159,4.054828,4.0489935,"Chr2",0.137635,"Collinear",NA
"NC_030304.1",4054904,4067007,0.216752,0.173463,0.043442,4.054904,4.067007,4.0609555,"Chr2",0.173463,"Collinear",NA
"NC_030304.1",4067194,4075725,0.10574,0.090107,0.037381,4.067194,4.075725,4.0714595,"Chr2",0.090107,"Collinear",NA
"NC_030304.1",4075727,4092769,-0.134273,-0.124907,-0.036969,4.075727,4.092769,4.084248,"Chr2",NA,"Collinear",NA
"NC_030304.1",4092879,4106612,0.164535,0.135672,0.044699,4.092879,4.106612,4.0997455,"Chr2",0.135672,"Collinear",NA
"NC_030304.1",4106674,4117684,-0.0964,-0.152691,-0.030044,4.106674,4.117684,4.112179,"Chr2",NA,"Collinear",NA
"NC_030304.1",4117878,4138120,-0.099287,-0.107493,-0.030063,4.117878,4.13812,4.127999,"Chr2",NA,"Collinear",NA
"NC_030304.1",4138170,4148644,0.173078,0.155648,0.057877,4.13817,4.148644,4.143407,"Chr2",0.155648,"Collinear",NA
"NC_030304.1",4148692,4157370,-0.17479,-0.300849,-0.052304,4.148692,4.15737,4.153031,"Chr2",NA,"Collinear",NA
"NC_030304.1",4157430,4164786,-0.021077,-0.021356,-0.008193,4.15743,4.164786,4.161108,"Chr2",NA,"Collinear",NA
"NC_030304.1",4164797,4171481,-0.032554,-0.035528,-0.011167,4.164797,4.171481,4.168139,"Chr2",NA,"Collinear",NA
"NC_030304.1",4171570,4180571,0.0542,0.035627,0.014051,4.17157,4.180571,4.1760705,"Chr2",0.035627,"Collinear",NA
"NC_030304.1",4180574,4188551,0.013708,0.016899,0.003886,4.180574,4.188551,4.1845625,"Chr2",0.016899,"Collinear",NA
"NC_030304.1",4188740,4200129,0.103423,0.072706,0.018669,4.18874,4.200129,4.1944345,"Chr2",0.072706,"Collinear",NA
"NC_030304.1",4200302,4211457,0.206146,0.164782,0.049712,4.200302,4.211457,4.2058795,"Chr2",0.164782,"Collinear",NA
"NC_030304.1",4212000,4227923,0.030899,0.018464,0.005736,4.212,4.227923,4.2199615,"Chr2",0.018464,"Collinear",NA
"NC_030304.1",4227931,4250732,-0.078991,-0.039472,-0.014883,4.227931,4.250732,4.2393315,"Chr2",NA,"Collinear",NA
"NC_030304.1",4250796,4269974,0.004522,0.00211,0.000851,4.250796,4.269974,4.260385,"Chr2",0.00211,"Collinear",NA
"NC_030304.1",4270044,4283677,0.187138,0.104354,0.044798,4.270044,4.283677,4.2768605,"Chr2",0.104354,"Collinear",NA
"NC_030304.1",4284267,4316329,0.178403,0.053197,0.028293,4.284267,4.316329,4.300298,"Chr2",0.053197,"Collinear",NA
"NC_030304.1",4316473,4336748,-0.017708,-0.006234,-0.002538,4.316473,4.336748,4.3266105,"Chr2",NA,"Collinear",NA
"NC_030304.1",4336890,4350956,0.092428,0.083254,0.022642,4.33689,4.350956,4.343923,"Chr2",0.083254,"Collinear",NA
"NC_030304.1",4351024,4370391,-0.010952,-0.00659,-0.002043,4.351024,4.370391,4.3607075,"Chr2",NA,"Collinear",NA
"NC_030304.1",4370559,4391799,0.039306,0.017502,0.007172,4.370559,4.391799,4.381179,"Chr2",0.017502,"Collinear",NA
