"IntrogressionEffectEstimate","Cat","Chrom"
0.00372899539015371,"Collinear","chr2"
0.0045275495079361,"Collinear","chr2"
0.0048029705230437,"Collinear","chr2"
0.0030027273814466,"Collinear","chr2"
0.0043831304481805,"Collinear","chr2"
0.0038262864689709,"Collinear","chr2"
0.0045835296216916,"Collinear","chr2"
0.002985954675217,"Collinear","chr2"
0.0032198879647248,"Collinear","chr2"
0.00711855136840355,"Collinear","chr2"
0.0043367439068457,"Collinear","chr2"
0.0026705023046994,"Collinear","chr2"
0.0032122820347617,"Collinear","chr2"
0.0019241181723026,"Collinear","chr2"
0.002581189815203,"Collinear","chr2"
0.0048968120453208,"Collinear","chr2"
0.0031624378347986,"Collinear","chr2"
0.0028294575511721,"Collinear","chr2"
0.0042904277402633,"Collinear","chr2"
0.0054611751333269,"Collinear","chr2"
0.00755549474370793,"Collinear","chr2"
0.00467898976899941,"Collinear","chr2"
0.0025441441197931,"Collinear","chr2"
0.0042328765053827,"Collinear","chr2"
0.0028461542525338,"Collinear","chr2"
0.0041336924849602,"Collinear","chr2"
0.0037818309316123,"Collinear","chr2"
0.0017043024855866,"Collinear","chr2"
0.0034676796520533,"Collinear","chr2"
0.000631102991827561,"Collinear","chr2"
0.0017346105702961,"Collinear","chr2"
0.0050726783850711,"Collinear","chr2"
0.001765399874439,"Collinear","chr2"
0.0023715855077997,"Collinear","chr2"
0.0017166408590369,"Collinear","chr2"
0.0023416671231978,"Collinear","chr2"
0.0022850787144543,"Collinear","chr2"
0.0021096718869599,"Collinear","chr2"
0.0021381274677716,"Collinear","chr2"
0.0028506632909967,"Collinear","chr2"
0.0023034038502833,"Collinear","chr2"
0.0017508433513132,"Collinear","chr2"
0.00551317279449884,"Collinear","chr2"
0.0025164716304456,"Collinear","chr2"
0.0012735634983881,"Collinear","chr2"
0.0022114861383146,"Collinear","chr2"
0.0012626846648258,"Collinear","chr2"
0.0017340681601211,"Collinear","chr2"
0.001828129440163,"Collinear","chr2"
0.0013841622403495,"Collinear","chr2"
0.0010546396239517,"Collinear","chr2"
0.000700571763864098,"Collinear","chr2"
0.0024298726916986,"Collinear","chr2"
0.0116560663288375,"Collinear","chr2"
0.00785997519877746,"Collinear","chr2"
0.0028604978396904,"Collinear","chr2"
0.0014508902142346,"Collinear","chr2"
0.0026707282899209,"Collinear","chr2"
0.0029294978812968,"Inverted","chr2"
0.0022888124787301,"Inverted","chr2"
0.0016294538117898,"Inverted","chr2"
0.0021155049801301,"Inverted","chr2"
0.0010119981172095,"Inverted","chr2"
0.0018056728327111,"Inverted","chr2"
0.0010733442297926,"Inverted","chr2"
0.0134953949846794,"Collinear","chr2"
0.0013676718539257,"Inverted","chr2"
0.0014794073573346,"Inverted","chr2"
0.0015607695248122,"Inverted","chr2"
0.0012727082795542,"Inverted","chr2"
0.0021509759979475,"Inverted","chr2"
0.002049727428866,"Inverted","chr2"
0.0022639127045324,"Inverted","chr2"
0.001675896208716,"Inverted","chr2"
0.0022074536784661,"Inverted","chr2"
0.000874015414576303,"Inverted","chr2"
0.0067135135011292,"Collinear","chr2"
0.000476125550183903,"Inverted","chr2"
0.000852111020376904,"Inverted","chr2"
0.0014419744974476,"Inverted","chr2"
0.0013155173113936,"Inverted","chr2"
0.0011236787652334,"Inverted","chr2"
0.000909253697362901,"Inverted","chr2"
0.000849538049446598,"Inverted","chr2"
0.000852958767147997,"Inverted","chr2"
0.0007110541054058,"Inverted","chr2"
0.0005893319676067,"Inverted","chr2"
0.00271611824557732,"Collinear","chr2"
0.0012647503848549,"Inverted","chr2"
0.0014588839691608,"Inverted","chr2"
0.0021948697348929,"Inverted","chr2"
0.00144620464514649,"Inverted","chr2"
0.0016290310094496,"Inverted","chr2"
0.0010017675838001,"Inverted","chr2"
0.0018696629345345,"Inverted","chr2"
0.0011764959957461,"Inverted","chr2"
0.0014479372930557,"Inverted","chr2"
0.0017853453245522,"Inverted","chr2"
0.00431510976183984,"Collinear","chr2"
0.001663674295991,"Inverted","chr2"
0.0021608709995827,"Inverted","chr2"
0.0028535576790562,"Inverted","chr2"
0.00321495512132361,"Inverted","chr2"
0.0036720762458454,"Inverted","chr2"
0.0019330871902769,"Inverted","chr2"
0.0015744163945951,"Inverted","chr2"
0.0018895307741241,"Inverted","chr2"
0.001649069641959,"Inverted","chr2"
0.0012515419630953,"Inverted","chr2"
0.00367628818852445,"Collinear","chr2"
0.001374001879243,"Inverted","chr2"
0.0014525999879309,"Inverted","chr2"
0.0015363260780426,"Inverted","chr2"
0.0016526422402548,"Inverted","chr2"
0.0010844234752569,"Inverted","chr2"
0.0010352595910435,"Inverted","chr2"
0.0019584567052467,"Inverted","chr2"
0.0018039405877497,"Inverted","chr2"
0.0035911335494317,"Inverted","chr2"
0.0021432510067949,"Inverted","chr2"
0.00754043214678055,"Collinear","chr2"
0.0027384072037622,"Inverted","chr2"
0.0019881510302024,"Inverted","chr2"
0.0019313663706429,"Inverted","chr2"
0.0035644087690089,"Inverted","chr2"
0.0019905466245921,"Inverted","chr2"
0.0031207501497518,"Inverted","chr2"
0.0018484387295214,"Inverted","chr2"
0.00184168785740333,"Inverted","chr2"
0.0024960523237551,"Inverted","chr2"
0.0023463874575358,"Inverted","chr2"
0.0108321025831136,"Collinear","chr2"
0.003367996825289,"Inverted","chr2"
0.0036062286036765,"Inverted","chr2"
0.0032046580197926,"Inverted","chr2"
0.0040540104875104,"Inverted","chr2"
0.0030795438292369,"Inverted","chr2"
0.0023777252416555,"Inverted","chr2"
0.0043789261507896,"Inverted","chr2"
0.004569031739944,"Inverted","chr2"
0.0043413153384814,"Inverted","chr2"
0.0024651086502942,"Inverted","chr2"
0.0110710973443885,"Collinear","chr2"
0.0033283330945951,"Inverted","chr2"
0.0027946796326948,"Inverted","chr2"
0.0033117677191,"Inverted","chr2"
0.0030335089474049,"Inverted","chr2"
0.0026328710051161,"Inverted","chr2"
0.0025530683934223,"Inverted","chr2"
0.0035051954791633,"Inverted","chr2"
0.0040784511172372,"Inverted","chr2"
0.0031085286903798,"Inverted","chr2"
0.0049415386629327,"Inverted","chr2"
0.0103696020316355,"Collinear","chr2"
0.0036101610577422,"Inverted","chr2"
0.0026709983658172,"Inverted","chr2"
0.0053571613156934,"Inverted","chr2"
0.0043613097745417,"Inverted","chr2"
0.0030042061231733,"Inverted","chr2"
0.0029745921040461,"Inverted","chr2"
0.0037446305285451,"Inverted","chr2"
0.0030363984837696,"Inverted","chr2"
0.0030082928839708,"Inverted","chr2"
0.0028526544821304,"Inverted","chr2"
0.0134420352036715,"Collinear","chr2"
0.00739186367600889,"Collinear","chr2"
0.0053714223799552,"Inverted","chr2"
0.0048588370716241,"Inverted","chr2"
0.0038070280794528,"Inverted","chr2"
0.0035824870133651,"Inverted","chr2"
0.0055803687620367,"Inverted","chr2"
0.0053162944496766,"Inverted","chr2"
0.0037201841096697,"Inverted","chr2"
0.0050479097705972,"Inverted","chr2"
0.0042556732259095,"Inverted","chr2"
0.0031849564211009,"Inverted","chr2"
0.009760944407223,"Collinear","chr2"
0.0045347277157371,"Inverted","chr2"
0.0044301532954051,"Inverted","chr2"
0.0027601990049063,"Inverted","chr2"
0.0040006357760519,"Inverted","chr2"
0.0046178868967184,"Inverted","chr2"
0.005090769111991,"Inverted","chr2"
0.0038753789401615,"Inverted","chr2"
0.0037338391408417,"Inverted","chr2"
0.0030462638402508,"Inverted","chr2"
0.0033034373202464,"Inverted","chr2"
0.0073448508582891,"Collinear","chr2"
0.0023352924423367,"Inverted","chr2"
0.0029918480484437,"Inverted","chr2"
0.0050219386487201,"Inverted","chr2"
0.0041844391912967,"Inverted","chr2"
0.003595876420761,"Inverted","chr2"
0.0032726572760349,"Inverted","chr2"
0.0034253171261674,"Inverted","chr2"
0.0025009185568373,"Inverted","chr2"
0.0026531832191088,"Inverted","chr2"
0.0046059756831478,"Inverted","chr2"
0.00541844862664901,"Collinear","chr2"
0.0017883804308447,"Inverted","chr2"
0.0018299970609966,"Inverted","chr2"
0.0026089031740018,"Inverted","chr2"
0.0050751471556071,"Inverted","chr2"
0.00246894007677096,"Inverted","chr2"
0.0023664300419266,"Inverted","chr2"
0.0030162147879729,"Inverted","chr2"
0.001954705532165,"Inverted","chr2"
0.0018143002967055,"Inverted","chr2"
0.0016877861820793,"Inverted","chr2"
0.0069041028667406,"Collinear","chr2"
0.0005361962109444,"Inverted","chr2"
0.000702994097991304,"Inverted","chr2"
0.0029228803307832,"Inverted","chr2"
0.00199127609546729,"Inverted","chr2"
0.0012973047307349,"Inverted","chr2"
0.000990741340065601,"Inverted","chr2"
0.000995490777323603,"Inverted","chr2"
0.000647683982978398,"Inverted","chr2"
0.0010585658442477,"Inverted","chr2"
0.000403966398547499,"Inverted","chr2"
0.00688905857328687,"Collinear","chr2"
0.0024092188606544,"Inverted","chr2"
0.0016805180287352,"Inverted","chr2"
0.0022622174189019,"Inverted","chr2"
0.0011277989524723,"Inverted","chr2"
0.0018973371077332,"Inverted","chr2"
0.00284883679981491,"Inverted","chr2"
0.0017171203107584,"Inverted","chr2"
0.0021784353636932,"Inverted","chr2"
0.0022262868811472,"Inverted","chr2"
0.0016711306622638,"Inverted","chr2"
0.00638663234574953,"Collinear","chr2"
0.0019360304888084,"Inverted","chr2"
0.0026476127137491,"Collinear","chr2"
0.0010939124029075,"Collinear","chr2"
0.0010115426582699,"Collinear","chr2"
0.0010318767565987,"Collinear","chr2"
0.002152700508949,"Collinear","chr2"
0.0021696226283295,"Collinear","chr2"
0.00230798210152859,"Collinear","chr2"
0.0010977075559685,"Collinear","chr2"
0.002925398531468,"Collinear","chr2"
0.0075412534366842,"Collinear","chr2"
0.00169496446707411,"Collinear","chr2"
0.0012335627555343,"Collinear","chr2"
0.0014629101097832,"Collinear","chr2"
0.000707118041083702,"Collinear","chr2"
0.000595025241870897,"Collinear","chr2"
0.0013996834610749,"Collinear","chr2"
0.0009300969711476,"Collinear","chr2"
0.0022294131808236,"Collinear","chr2"
0.00208468180097191,"Collinear","chr2"
0.0036654253895153,"Collinear","chr2"
0.00560088877768941,"Collinear","chr2"
0.0020114388675853,"Collinear","chr2"
0.0022579627210292,"Collinear","chr2"
0.0024357424775131,"Collinear","chr2"
0.0012817866058034,"Collinear","chr2"
0.0033997857140568,"Collinear","chr2"
0.0011026262451755,"Collinear","chr2"
0.0011182209536012,"Collinear","chr2"
0.0011133341091885,"Collinear","chr2"
0.0011162956638414,"Collinear","chr2"
0.001325010010069,"Collinear","chr2"
0.0058203066656147,"Collinear","chr2"
0.0012695895955621,"Collinear","chr2"
0.0025297494416182,"Collinear","chr2"
0.002967155282912,"Collinear","chr2"
0.0029566771807655,"Collinear","chr2"
0.0036471749244835,"Collinear","chr2"
0.0034265613476386,"Collinear","chr2"
0.0015604573839555,"Collinear","chr2"
0.0041843284022337,"Collinear","chr2"
0.0058745897732319,"Collinear","chr2"
0.0042610749566688,"Collinear","chr2"
0.00963610219961274,"Collinear","chr2"
0.0060201563997012,"Collinear","chr2"
0.0035151829689017,"Collinear","chr2"
0.0025243264552551,"Collinear","chr2"
0.0026720659971581,"Collinear","chr2"
0.0038788170174137,"Collinear","chr2"
0.0030121179827107,"Collinear","chr2"
0.0046506731004616,"Collinear","chr2"
0.00222714730246119,"Collinear","chr2"
0.0031418347981041,"Collinear","chr2"
0.0026284219383978,"Collinear","chr2"
0.0013953315721991,"Collinear","chr2"
0.0073995061903706,"Collinear","chr2"
0.00124385583466539,"Collinear","chr2"
0.00194422117880478,"Collinear","chr2"
0.00209602830535964,"Collinear","chr2"
0.0021422128016204,"Collinear","chr2"
0.0021369755642263,"Collinear","chr2"
0.0037528648662615,"Collinear","chr2"
0.0045477809296166,"Collinear","chr2"
0.0038941589744353,"Collinear","chr2"
0.0042830810686092,"Collinear","chr2"
0.0066039677722296,"Collinear","chr2"
0.0066861045360373,"Collinear","chr2"
0.0042089737326295,"Collinear","chr2"
0.0038095743046236,"Collinear","chr2"
0.0044381166167889,"Collinear","chr2"
0.003834866057996,"Collinear","chr2"
0.0025192088506144,"Collinear","chr2"
0.0040308135015323,"Collinear","chr2"
0.0038311735648271,"Collinear","chr2"
0.0024524797449755,"Collinear","chr2"
0.0042080404464295,"Collinear","chr2"
0.0052892898564312,"Collinear","chr2"
0.008722826447207,"Collinear","chr2"
0.0063326666107577,"Collinear","chr2"
0.0054737640621371,"Collinear","chr2"
0.0055725892640861,"Collinear","chr2"
0.0055220552061737,"Collinear","chr2"
0.0057236405582897,"Collinear","chr2"
0.0020401883253314,"Collinear","chr2"
0.0024121414098066,"Collinear","chr2"
0.0027196248423113,"Collinear","chr2"
0.0028870341810549,"Collinear","chr2"
0.0047041155175704,"Collinear","chr2"
0.00765771684875071,"Collinear","chr2"
0.00248197501368129,"Collinear","chr2"
0.0022551761807479,"Collinear","chr2"
0.0026472953007954,"Collinear","chr2"
0.00302417366364361,"Collinear","chr2"
0.00345800223423869,"Collinear","chr2"
0.0049303715960564,"Collinear","chr2"
0.0020320523316699,"Collinear","chr2"
0.0027039953138448,"Collinear","chr2"
0.0022031577484101,"Collinear","chr2"
0.0033172858000392,"Collinear","chr2"
0.00445554828715335,"Collinear","chr2"
0.0019446845746914,"Collinear","chr2"
0.0019269463117232,"Collinear","chr2"
0.00230213339791464,"Collinear","chr2"
0.0027158720691723,"Collinear","chr2"
0.00307125952430513,"Collinear","chr2"
0.0027597823854277,"Collinear","chr2"
0.00533997497574141,"Collinear","chr2"
0.0049438286748935,"Collinear","chr2"
0.0031230410447134,"Collinear","chr2"
0.00241335371726429,"Collinear","chr2"
0.00466822795340187,"Collinear","chr2"
0.0032494077576949,"Collinear","chr2"
0.0024210906077156,"Collinear","chr2"
0.0032342596996289,"Collinear","chr2"
0.0040559737185319,"Collinear","chr2"
0.0061238047704329,"Collinear","chr2"
0.0032047587035227,"Collinear","chr2"
0.0025325704753143,"Collinear","chr2"
0.0015393318543005,"Collinear","chr2"
0.003157495621064,"Collinear","chr2"
0.0081361740833996,"Collinear","chr2"
0.00321634260384269,"Collinear","chr2"
0.0051841842465594,"Collinear","chr2"
0.0018389291551612,"Collinear","chr2"
0.0022532075352504,"Collinear","chr2"
0.0036270268222142,"Collinear","chr2"
0.0030346359497219,"Collinear","chr2"
0.0025527181259734,"Collinear","chr2"
0.0038313789919959,"Collinear","chr2"
0.0024761425219312,"Collinear","chr2"
0.002445336392567,"Collinear","chr2"
0.00167848406390665,"Collinear","chr2"
0.0042480439831621,"Collinear","chr2"
0.00183405117449233,"Collinear","chr2"
0.002502383559249,"Collinear","chr2"
0.00344786408342591,"Collinear","chr2"
0.0036912772109881,"Collinear","chr2"
0.0034607390196238,"Collinear","chr2"
0.00333021141942,"Collinear","chr2"
0.0032353496203243,"Collinear","chr2"
0.005863529667463,"Collinear","chr2"
0.0028310201280365,"Collinear","chr2"
0.0022033307316449,"Collinear","chr2"
0.0057770303512296,"Collinear","chr2"
0.0025072048822992,"Collinear","chr2"
0.0042930563871823,"Collinear","chr2"
0.0021430786500413,"Collinear","chr2"
0.0040212776992632,"Collinear","chr2"
0.0025013538838816,"Collinear","chr2"
0.00165321598857974,"Collinear","chr2"
0.0025488222764589,"Collinear","chr2"
0.0020777782468131,"Collinear","chr2"
0.0025476039723337,"Collinear","chr2"
0.0053705157704453,"Collinear","chr2"
0.0117894857449586,"Collinear","chr2"
0.0066451577350492,"Collinear","chr2"
0.0041190805318891,"Collinear","chr2"
0.0025033269879036,"Collinear","chr2"
0.0026753016623774,"Collinear","chr2"
0.00160235299838719,"Collinear","chr2"
0.00243218156939386,"Collinear","chr2"
0.0051764569272427,"Collinear","chr2"
0.00397299862018322,"Collinear","chr2"
0.0044661283967713,"Collinear","chr2"
0.0036638970247378,"Collinear","chr2"
0.0035527801463341,"Collinear","chr2"
0.0040992829346979,"Collinear","chr2"
0.0022202410342654,"Collinear","chr2"
0.0027282832239349,"Collinear","chr2"
0.00297796151854664,"Collinear","chr2"
0.00302574889502285,"Collinear","chr2"
0.0019431780133937,"Collinear","chr2"
0.0027641594805321,"Collinear","chr2"
0.0037190170557679,"Collinear","chr2"
0.00246819940611536,"Collinear","chr2"
0.0037510853817431,"Collinear","chr2"
0.0044242622034232,"Collinear","chr2"
0.0035125728501476,"Collinear","chr2"
0.00344291143197096,"Collinear","chr2"
0.0032504766263946,"Collinear","chr2"
0.00183266422755202,"Collinear","chr2"
0.0036266912482255,"Collinear","chr2"
0.00181921735149624,"Collinear","chr2"
0.0028084039936682,"Collinear","chr2"
0.0030966918190901,"Collinear","chr2"
0.0033992842476195,"Collinear","chr2"
0.0037272140874741,"Collinear","chr2"
0.00410378391365241,"Collinear","chr2"
0.00270992746596491,"Collinear","chr2"
0.00370133901351497,"Collinear","chr2"
0.00252262344301138,"Collinear","chr2"
0.00451558709252952,"Collinear","chr2"
0.00243267662022481,"Collinear","chr2"
0.00325707159621216,"Collinear","chr2"
0.00422702945582439,"Collinear","chr2"
0.00419463110376912,"Collinear","chr2"
0.00424050529021474,"Collinear","chr2"
0.00389495721920717,"Collinear","chr2"
0.00339712769855703,"Collinear","chr2"
0.00294713319032427,"Collinear","chr2"
0.00351124559312536,"Collinear","chr2"
0.00378675881415021,"Collinear","chr2"
0.00220300239516365,"Collinear","chr2"
0.00359431499625358,"Collinear","chr2"
0.00507491908408963,"Collinear","chr2"
0.00416065020269413,"Collinear","chr2"
0.00333690096036117,"Collinear","chr2"
0.0038093044519195,"Collinear","chr2"
0.00397540650398186,"Collinear","chr2"
0.0050333495960018,"Collinear","chr2"
0.0043837272931548,"Collinear","chr2"
0.00402361939310102,"Collinear","chr2"
0.00232233022253196,"Collinear","chr2"
0.00294954452322418,"Collinear","chr2"
0.0039692733177718,"Collinear","chr2"
0.00439842325007091,"Collinear","chr2"
0.0049641876899961,"Collinear","chr2"
0.0037780835634834,"Collinear","chr2"
0.0034047630716522,"Collinear","chr2"
0.00289859471235136,"Collinear","chr2"
0.00318177769900533,"Collinear","chr2"
0.0069583393784139,"Collinear","chr2"
0.000457096705226809,"Collinear","chr2"
0.005073571069804,"Collinear","chr2"
0.0058755842472401,"Collinear","chr2"
0.0075406804662466,"Collinear","chr2"
0.012285643949737,"Collinear","chr2"
0.0055947756375975,"Collinear","chr2"
0.00323047565880539,"Collinear","chr2"
0.00465398686627554,"Collinear","chr2"
0.00387038342417529,"Collinear","chr2"
0.00423391893560354,"Collinear","chr2"
0.00278393389184534,"Collinear","chr2"
0.00424823266860626,"Collinear","chr2"
0.00276025110185294,"Collinear","chr2"
0.0033522902622952,"Collinear","chr2"
0.00338931547783449,"Collinear","chr2"
0.00709948685351102,"Collinear","chr2"
0.0076524670210982,"Collinear","chr2"
0.0060333605808338,"Collinear","chr2"
0.0057433662112038,"Collinear","chr2"
0.0039634585344328,"Collinear","chr2"
0.00273449799087305,"Collinear","chr2"
0.00256730938666326,"Collinear","chr2"
0.00236121453487405,"Collinear","chr2"
0.00287064038938121,"Collinear","chr2"
0.0012969748915184,"Collinear","chr2"
0.00262814986537595,"Collinear","chr2"
0.00685948851880294,"Collinear","chr2"
0.0035426694550025,"Collinear","chr2"
0.00320237685656841,"Collinear","chr2"
0.0026344452459211,"Collinear","chr2"
0.00301373047701581,"Collinear","chr2"
0.00405051205593688,"Collinear","chr2"
0.00266143621810822,"Collinear","chr2"
0.002983231291188,"Collinear","chr2"
0.00377574589344529,"Collinear","chr2"
0.0034426412895642,"Collinear","chr2"
0.0027008839027686,"Collinear","chr2"
0.0141018474523322,"Collinear","chr2"
0.00729798809670661,"Collinear","chr2"
0.00202115602852292,"Collinear","chr2"
0.0035174000055776,"Collinear","chr2"
0.00199996596852588,"Collinear","chr2"
0.0019316141705111,"Collinear","chr2"
0.005366693625151,"Collinear","chr2"
0.00433104690900729,"Collinear","chr2"
0.0031708502224707,"Collinear","chr2"
0.0034216961309231,"Collinear","chr2"
0.0032613751676061,"Collinear","chr2"
0.0040435258567238,"Collinear","chr2"
0.00835282634335742,"Collinear","chr2"
0.002963635340737,"Collinear","chr2"
0.0037379965085958,"Collinear","chr2"
0.0025683254963153,"Collinear","chr2"
0.00547940233783489,"Collinear","chr2"
0.0034288446570591,"Collinear","chr2"
0.0048780959668367,"Collinear","chr2"
0.0049726935869314,"Collinear","chr2"
0.0044955290083408,"Collinear","chr2"
0.0026362126599221,"Collinear","chr2"
0.002239151305355,"Collinear","chr2"
0.00886158887331073,"Collinear","chr2"
0.0029234103776741,"Collinear","chr2"
0.0026021409326595,"Collinear","chr2"
0.0021550292599745,"Collinear","chr2"
0.0015442433427204,"Collinear","chr2"
0.00106171312122998,"Collinear","chr2"
0.0030462296158636,"Collinear","chr2"
0.0044305011044189,"Collinear","chr2"
0.00299410965126299,"Collinear","chr2"
0.0029487405179275,"Collinear","chr2"
0.0039490393995149,"Collinear","chr2"
0.0103525901278234,"Collinear","chr2"
0.0047406340098077,"Collinear","chr2"
0.0044614967274714,"Collinear","chr2"
0.0056170072129668,"Collinear","chr2"
0.00237911820184,"Collinear","chr2"
0.0041411843196922,"Collinear","chr2"
0.0029789729777498,"Collinear","chr2"
0.0043267720031601,"Collinear","chr2"
0.0048812061112052,"Collinear","chr2"
0.0032643193457227,"Collinear","chr2"
0.0034368945555917,"Collinear","chr2"
0.0103537041660168,"Collinear","chr2"
0.0034614330386882,"Collinear","chr2"
0.0013629169394354,"Collinear","chr2"
0.0044154442360103,"Collinear","chr2"
0.0031005838423923,"Collinear","chr2"
0.0084135845972397,"Collinear","chr2"
0.00632851234537308,"Collinear","chr2"
0.00536757254308251,"Collinear","chr2"
0.0029220973961034,"Collinear","chr2"
0.0041303747381739,"Collinear","chr2"
0.0022958161951751,"Collinear","chr2"
0.0088757528845951,"Collinear","chr2"
0.0027122361560295,"Collinear","chr2"
0.0034455873738939,"Collinear","chr2"
0.0032175144944522,"Collinear","chr2"
0.0034638533991842,"Collinear","chr2"
0.0038493113147821,"Collinear","chr2"
0.0025707982776638,"Collinear","chr2"
0.0028334545083912,"Collinear","chr2"
0.0041083457093197,"Collinear","chr2"
0.0019470378241509,"Collinear","chr2"
0.0017964252751395,"Collinear","chr2"
0.00742984374278825,"Collinear","chr2"
0.0034884566682346,"Collinear","chr2"
0.0048055042454209,"Collinear","chr2"
0.0055514633609465,"Collinear","chr2"
0.003258765522741,"Collinear","chr2"
0.0019381206441877,"Collinear","chr2"
0.00121911522993597,"Collinear","chr2"
0.0025447934740267,"Collinear","chr2"
0.0031111976741813,"Collinear","chr2"
0.0026993044707981,"Collinear","chr2"
0.0037865053067012,"Collinear","chr2"
0.00900291336691658,"Collinear","chr2"
0.0041075122915444,"Collinear","chr2"
0.0035650051488247,"Collinear","chr2"
0.0037050915401899,"Collinear","chr2"
0.0040863832342064,"Collinear","chr2"
0.0027931109790824,"Collinear","chr2"
0.0032214776746009,"Collinear","chr2"
0.0027723992796081,"Collinear","chr2"
0.0044711220410142,"Collinear","chr2"
0.00313925450018842,"Collinear","chr2"
0.0030054577370008,"Collinear","chr2"
0.00896956878668113,"Collinear","chr2"
0.003026115243626,"Collinear","chr2"
0.0029302010807826,"Collinear","chr2"
0.0040114383628077,"Collinear","chr2"
0.0016154934712691,"Collinear","chr2"
0.0025232216082805,"Collinear","chr2"
0.0023274509715423,"Collinear","chr2"
0.0025620229870639,"Collinear","chr2"
0.0038846170957946,"Collinear","chr2"
0.0067114257963424,"Collinear","chr2"
0.0032055083131533,"Collinear","chr2"
0.0100588675919788,"Collinear","chr2"
0.00370369147288951,"Collinear","chr2"
0.0045847074349236,"Collinear","chr2"
0.0040552557397184,"Collinear","chr2"
0.0040607981910845,"Collinear","chr2"
0.00301756411035299,"Collinear","chr2"
0.0032247131313329,"Collinear","chr2"
0.0044610681419342,"Collinear","chr2"
0.0032221605864674,"Collinear","chr2"
0.0027703169252337,"Collinear","chr2"
0.0041530930915519,"Collinear","chr2"
0.00864307421797812,"Collinear","chr4"
0.0078437936153323,"Collinear","chr4"
0.00518714770198978,"Collinear","chr4"
0.0074853834581623,"Collinear","chr4"
0.0062448999951959,"Collinear","chr4"
0.0066042233025026,"Collinear","chr4"
0.0043926929049838,"Collinear","chr4"
0.0074701669262298,"Collinear","chr4"
0.0067161065610675,"Collinear","chr4"
0.0083077292565582,"Collinear","chr4"
0.0065812185005611,"Collinear","chr4"
0.0055650676196503,"Collinear","chr4"
0.0069243686226986,"Collinear","chr4"
0.00510408139975869,"Collinear","chr4"
0.0061931303516252,"Collinear","chr4"
0.0063209167269683,"Collinear","chr4"
0.00421247800816295,"Collinear","chr4"
0.00665469531787372,"Collinear","chr4"
0.00498725263653542,"Collinear","chr4"
0.0072895830275919,"Collinear","chr4"
0.0060948094733935,"Collinear","chr4"
0.0056305766895296,"Collinear","chr4"
0.0070337487984626,"Collinear","chr4"
0.0064354894228992,"Collinear","chr4"
0.00466001825373063,"Collinear","chr4"
0.0053623620263151,"Collinear","chr4"
0.00663657111201151,"Collinear","chr4"
0.0069459239376811,"Collinear","chr4"
0.0052992737963797,"Collinear","chr4"
0.0059495877328078,"Collinear","chr4"
0.0066926711922539,"Collinear","chr4"
0.0060581093857768,"Collinear","chr4"
0.0073833606750873,"Collinear","chr4"
0.0067009392398409,"Collinear","chr4"
0.0047706547506057,"Collinear","chr4"
0.00568243239076937,"Collinear","chr4"
0.0051240874941705,"Collinear","chr4"
0.0059527053663803,"Collinear","chr4"
